"Date: 2024-05-22+0000"
"Version: 7.1"
"Status: 
0 Normal
"Life","🌈每日清单","🎬 Transformers: Rise of the Beasts - 6/9 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-09T07:00:00+0000","2023-06-09T07:00:00+0000","","","3","-1","2023-05-25T21:59:17+0000","2023-06-09T07:58:48+0000","-2684354574","America/Los_Angeles","true","false",,,"list","134",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-08-31T10:00:00+0000","2023-08-31T10:00:00+0000","","","3","2","2023-09-06T14:00:19+0000","2024-05-22T03:29:44+0000","-2415918094","America/Los_Angeles","false","false",,,"list","135",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-08-30T10:00:00+0000","2023-08-30T10:00:00+0000","","","3","2","2023-08-30T20:02:06+0000","2024-05-22T03:29:45+0000","-2415917070","America/Los_Angeles","false","false",,,"list","136",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-07-22T10:00:00+0000","2023-07-22T10:00:00+0000","","","3","2","2023-08-30T17:44:24+0000","2024-05-22T03:29:45+0000","-2415915022","America/Los_Angeles","false","false",,,"list","137",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-07-12T10:00:00+0000","2023-07-12T10:00:00+0000","","","3","2","2023-07-23T06:28:22+0000","2024-05-22T03:29:45+0000","-2415910926","America/Los_Angeles","false","false",,,"list","138",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-19T10:00:00+0000","2023-06-19T10:00:00+0000","","","3","2","2023-07-12T22:42:40+0000","2024-05-22T03:29:45+0000","-2415902734","America/Los_Angeles","false","false",,,"list","139",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-12T10:00:00+0000","2023-06-12T10:00:00+0000","","","3","2","2023-06-19T21:08:50+0000","2024-05-22T03:29:45+0000","-2415886350","America/Los_Angeles","false","false",,,"list","140",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-11T10:00:00+0000","2023-06-11T10:00:00+0000","","","3","2","2023-06-12T23:24:13+0000","2024-05-22T03:29:45+0000","-2415853582","America/Los_Angeles","false","false",,,"list","141",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-11T10:00:00+0000","2023-06-11T10:00:00+0000","","","3","2","2023-06-12T23:24:13+0000","2024-05-22T03:29:45+0000","-2415788046","America/Los_Angeles","false","false",,,"list","142",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-10T10:00:00+0000","2023-06-10T10:00:00+0000","","","3","2","2023-06-12T00:16:53+0000","2024-05-22T03:29:45+0000","-2415656974","America/Los_Angeles","false","false",,,"list","143",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-09T10:00:00+0000","2023-06-09T10:00:00+0000","","","3","2","2023-06-09T07:59:02+0000","2024-05-22T03:29:46+0000","-2415394830","America/Los_Angeles","false","false",,,"list","144",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-06T10:00:00+0000","2023-06-06T10:00:00+0000","","","3","2","2023-06-09T07:58:06+0000","2024-05-22T03:29:46+0000","-2414870542","America/Los_Angeles","false","false",,,"list","145",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-03T10:00:00+0000","2023-06-03T10:00:00+0000","","","3","2","2023-06-07T02:11:11+0000","2024-05-22T03:29:46+0000","-2413821966","America/Los_Angeles","false","false",,,"list","146",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-02T10:00:00+0000","2023-06-02T10:00:00+0000","","","3","2","2023-06-03T09:47:02+0000","2024-05-22T03:29:46+0000","-2411724814","America/Los_Angeles","false","false",,,"list","147",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-01T10:00:00+0000","2023-06-01T10:00:00+0000","","","3","2","2023-06-01T08:21:35+0000","2024-05-22T03:29:46+0000","-2407530510","America/Los_Angeles","false","false",,,"list","148",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-31T10:00:00+0000","2023-05-31T10:00:00+0000","","","3","2","2023-06-01T08:19:06+0000","2024-05-22T03:29:46+0000","-2399141902","America/Los_Angeles","false","false",,,"list","149",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-27T10:00:00+0000","2023-05-27T10:00:00+0000","","","3","2","2023-06-01T00:58:52+0000","2024-05-22T03:29:46+0000","-2382364686","America/Los_Angeles","false","false",,,"list","150",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-26T10:00:00+0000","2023-05-26T10:00:00+0000","","","3","2","2023-05-26T19:51:54+0000","2024-05-22T03:29:46+0000","-2348810254","America/Los_Angeles","false","false",,,"list","151",""
"Life","🌈每日清单","找工作申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-25T10:00:00+0000","2023-05-25T10:00:00+0000","","","3","2","2023-05-25T21:48:20+0000","2024-05-22T03:29:47+0000","-2281701390","America/Los_Angeles","false","false",,,"list","152",""
"Life","🌈每日清单","学习MD提示词输入 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-24T07:00:00+0000","2023-05-24T07:00:00+0000","","","0","2","2023-05-24T23:12:06+0000","2024-05-22T03:29:47+0000","-2147483662","America/Los_Angeles","true","false",,,"list","153",""
"Life","🌈每日清单","提交OPT申请 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-24T07:00:00+0000","2023-05-24T07:00:00+0000","","","5","2","2023-05-24T09:50:11+0000","2024-05-22T03:29:47+0000","-1879048206","America/Los_Angeles","true","false",,,"list","154",""
"Life","🌈每日清单","购买Ticktick的VIP [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-22T07:00:00+0000","2023-05-22T07:00:00+0000","","","0","2","2023-05-23T02:39:54+0000","2024-05-22T03:29:47+0000","-1342177294","America/Los_Angeles","true","false",,,"list","155",""
"Life","🌈每日清单","激活国内的银行卡 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-22T07:00:00+0000","2023-05-22T07:00:00+0000","","","3","2","2023-05-23T01:55:43+0000","2024-05-22T03:29:47+0000","-1342177293","America/Los_Angeles","true","false",,,"list","156",""
"Life","🌈每日清单","看UE科幻系列课程内容 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-21T07:00:00+0000","2023-05-21T07:00:00+0000","","","3","2","2023-05-22T01:04:00+0000","2024-05-22T03:29:47+0000","-1342177292","America/Los_Angeles","true","false",,,"list","157",""
"Life","🌈每日清单","回复OPT的申请邮件，并发下一步的申请邮件给Minjung [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-22T07:00:00+0000","2023-05-22T07:00:00+0000","","","5","2","2023-05-22T19:26:32+0000","2024-05-22T03:29:47+0000","-1342177291","America/Los_Angeles","true","false",,,"list","158",""
"Life","🌈每日清单","买火锅食材 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-21T07:00:00+0000","2023-05-21T07:00:00+0000","","","3","2","2023-05-22T01:04:23+0000","2024-05-22T03:29:47+0000","-1342177290","America/Los_Angeles","true","false",,,"list","159",""
"Life","🌈每日清单","Sp插件学习 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-23T07:00:00+0000","2023-05-23T07:00:00+0000","","","5","2","2023-05-23T22:50:12+0000","2024-05-22T03:29:48+0000","-1073741833","America/Los_Angeles","true","false",,,"list","160",""
"Life","🌈每日清单","学习水晶材质的制作方式 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-23T07:00:00+0000","2023-05-23T07:00:00+0000","","","5","2","2023-05-23T21:12:23+0000","2024-05-22T03:29:48+0000","-1073741832","America/Los_Angeles","true","false",,,"list","161",""
"Life","🌈每日清单","ue5制作无缝贴图的方式 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-23T07:00:00+0000","2023-05-23T07:00:00+0000","","","5","2","2023-05-23T21:26:05+0000","2024-05-22T03:29:48+0000","-1073741831","America/Los_Angeles","true","false",,,"list","162",""
"Life","🌈每日清单","学习UE5置换的方式 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-23T07:00:00+0000","2023-05-23T07:00:00+0000","","","5","2","2023-05-23T20:27:07+0000","2024-05-22T03:29:48+0000","-1073741830","America/Los_Angeles","true","false",,,"list","163",""
"Life","🌈每日清单","跳绳 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-22T07:00:00+0000","2023-05-22T07:00:00+0000","","","3","2","2023-05-23T02:36:33+0000","2024-05-22T03:29:48+0000","-1073741829","America/Los_Angeles","true","false",,,"list","164",""
"Life","🌈每日清单","每周至少1次学习开车 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-07-13T03:00:00+0000","2023-07-13T03:00:00+0000","","","5","2","2023-05-22T02:06:02+0000","2024-05-22T03:29:48+0000","-536870916","America/Los_Angeles","false","false",,,"list","165",""
"Life","🌈每日清单","每周至少1次学习开车 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-09-06T03:00:00+0000","2023-09-06T03:00:00+0000","","","5","2","2023-09-22T23:51:35+0000","2024-05-22T03:29:48+0000","-536346628","America/Los_Angeles","false","false",,,"list","166",""
"Life","🌈每日清单","每周至少1次学习开车 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-09-01T03:00:00+0000","2023-09-01T03:00:00+0000","","","5","2","2023-09-06T03:21:16+0000","2024-05-22T03:29:48+0000","-535822340","America/Los_Angeles","false","false",,,"list","167",""
"Life","🌈每日清单","每周至少1次学习开车 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-08-31T03:00:00+0000","2023-08-31T03:00:00+0000","","","5","2","2023-08-30T17:41:35+0000","2024-05-22T03:29:49+0000","-534773764","America/Los_Angeles","false","false",,,"list","168",""
"Life","🌈每日清单","每周至少两次学习开车 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-03T03:00:00+0000","2023-06-03T03:00:00+0000","","","5","2","2023-07-12T22:42:34+0000","2024-05-22T03:29:49+0000","-532676612","America/Los_Angeles","false","false",,,"list","169",""
"Life","🌈每日清单","每日学习驾考知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-02T03:00:00+0000","2023-06-02T03:00:00+0000","","","3","2","2023-06-01T08:20:40+0000","2024-05-22T03:29:49+0000","-528482308","America/Los_Angeles","false","false",,,"list","170",""
"Life","🌈每日清单","每日学习驾考知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-27T03:00:00+0000","2023-05-27T03:00:00+0000","","","5","2","2023-05-26T20:50:59+0000","2024-05-22T03:29:49+0000","-520093700","America/Los_Angeles","false","false",,,"list","171",""
"Life","🌈每日清单","每日学习驾考知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-28T03:00:00+0000","2023-05-28T03:00:00+0000","","","5","2","2023-05-26T20:50:28+0000","2024-05-22T03:29:49+0000","-503316484","America/Los_Angeles","false","false",,,"list","172",""
"Life","🌈每日清单","每日学习驾考知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-27T03:00:00+0000","2023-05-27T03:00:00+0000","","","5","2","2023-05-26T19:52:20+0000","2024-05-22T03:29:49+0000","-469762052","America/Los_Angeles","false","false",,,"list","173",""
"Life","🌈每日清单","每日学习驾考知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-26T03:00:00+0000","2023-05-26T03:00:00+0000","","","5","2","2023-05-26T19:51:45+0000","2024-05-22T03:29:49+0000","-402653188","America/Los_Angeles","false","false",,,"list","174",""
"Life","🌈每日清单","做酸料 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-26T07:00:00+0000","2023-05-26T07:00:00+0000","","","5","2","2023-05-22T02:05:31+0000","2024-05-22T03:29:49+0000","-268435460","America/Los_Angeles","true","false",,,"list","175",""
"Life","🌈每日清单","Creative writing couch [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-26T08:00:00+0000","2024-01-26T08:00:00+0000","","","5","2","2024-01-26T08:33:03+0000","2024-05-22T03:30:12+0000","-134217728","America/Los_Angeles","true","false",,,"list","176","16"
"Life","🌈每日清单","写论文 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-19T08:00:00+0000","2024-01-19T08:00:00+0000","","","5","2","2024-01-19T07:30:32+0000","2024-05-22T03:30:12+0000","-134217728","America/Los_Angeles","true","false",,,"list","177","17"
"Life","🌈每日清单","Diagrams: Show Me [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-26T08:00:00+0000","2024-01-26T08:00:00+0000","","","3","2","2024-01-26T09:04:27+0000","2024-05-22T03:30:16+0000","-67108864","America/Los_Angeles","true","false",,,"list","178","16"
"Life","🌈每日清单","探索模型管理插件 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-19T08:00:00+0000","2024-01-19T08:00:00+0000","","","5","2","2024-01-19T18:33:32+0000","2024-05-22T03:30:47+0000","-16777216","America/Los_Angeles","true","false",,,"list","179","17"
"Life","🌈每日清单","【AutoGen Studio 教程 - 无代码人工智能代理生成器（100% 本地化）-哔哩哔哩】 [AutoGen Studio 教程 - 无代码人工智能代理生成器（100% 本地化）_哔哩哔哩_bilibili](https://b23.tv/N2gV0fB) 阅读这个视频 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","【【喂奶级教程】搭建OpenAI+Autogen系统｜微软的多智能体协作系统｜多AI协调｜multi-agent｜openai｜chatpgt-哔哩哔哩】 https://b23.tv/kz1jhuX","N","2024-01-27T08:00:00+0000","2024-01-27T08:00:00+0000","","","3","2","2024-01-21T09:26:58+0000","2024-05-22T03:30:17+0000","-14680064","America/Los_Angeles","true","false",,,"list","180","17"
"Life","🌈每日清单","【AI声音克隆又进化了，1分钟训练模型，一键启动包发布！-哔哩哔哩】 [AI声音克隆又进化了，1分钟训练模型，一键启动包发布！_哔哩哔哩_bilibili](https://b23.tv/WZPqy1I) [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-21T08:00:00+0000","2024-01-21T08:00:00+0000","","","0","2","2024-01-21T14:41:13+0000","2024-05-22T03:30:17+0000","-12582912","America/Los_Angeles","true","false",,,"list","181","17"
"Life","🌈每日清单","把VoiceCopy的软件下载下来并测试一下 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","https://github.com/RVC-Boss/GPT-SoVITS?tab=readme-ov-file","N","2024-01-31T08:00:00+0000","2024-01-31T08:00:00+0000","","","0","2","2024-01-19T07:29:44+0000","2024-05-22T03:30:48+0000","-8388608","America/Los_Angeles","true","false",,,"list","182","17"
"Life","🌈每日清单","【原地封神的7个AI工具，很难相信都是免费的！-哔哩哔哩】 [原地封神的7个AI工具，很难相信都是免费的！_哔哩哔哩_bilibili](https://b23.tv/PI9cbii) [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-21T08:00:00+0000","2024-01-21T08:00:00+0000","","","0","2","2024-01-21T22:02:52+0000","2024-05-22T03:30:18+0000","-8257536","America/Los_Angeles","true","false",,,"list","183","17"
"Life","🌈每日清单","【ComfyUI插件新增翻译功能-哔哩哔哩】 [ComfyUI插件新增翻译功能_哔哩哔哩_bilibili](https://b23.tv/39Ozwxt) [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-24T08:00:00+0000","2024-01-24T08:00:00+0000","","","0","2","2024-01-25T22:48:00+0000","2024-05-22T03:30:18+0000","-8126464","America/Los_Angeles","true","false",,,"list","184","17"
"Life","🌈每日清单","直接在网页端测试昨天没有成功的那块AI插线 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-24T08:00:00+0000","2024-01-24T08:00:00+0000","","","5","2","2024-01-26T00:20:42+0000","2024-05-22T03:30:16+0000","-7864320","America/Los_Angeles","true","false",,,"list","185","17"
"Life","🌈每日清单","把新的提示性的Customer Introduction放入Chat GPT中。 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-19T08:00:00+0000","2024-01-19T08:00:00+0000","","","0","2","2024-01-19T07:30:01+0000","2024-05-22T03:30:52+0000","-7340032","America/Los_Angeles","true","false",,,"list","186","17"
"Life","🌈每日清单","【电商设计师被阿里巴巴的AI史诗级削弱-哔哩哔哩】 [电商设计师被阿里巴巴的AI史诗级削弱_哔哩哔哩_bilibili](https://b23.tv/D2k1nst) [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-24T08:00:00+0000","2024-01-24T08:00:00+0000","","","5","2","2024-01-24T14:53:15+0000","2024-05-22T03:30:18+0000","-6291456","America/Los_Angeles","true","false",,,"list","187","17"
"Life","🌈每日清单","尝试通配符功能fooocus [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2024-01-25T08:00:00+0000","2024-01-25T08:00:00+0000","","","5","2","2024-01-25T12:13:13+0000","2024-05-22T03:30:52+0000","-4194304","America/Los_Angeles","true","false",,,"list","188","17"
"Life","🌈每日清单","bl到ue5的插件 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-24T07:00:00+0000","2023-05-24T07:00:00+0000","","","3","2","2023-05-23T22:31:39+0000","2024-05-22T03:29:50+0000","-4","America/Los_Angeles","true","false",,,"list","189",""
"Life","🌈每日清单","安装ps的lazy month [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-24T07:00:00+0000","2023-05-24T07:00:00+0000","","","3","2","2023-05-23T21:12:46+0000","2024-05-22T03:29:50+0000","-3","America/Los_Angeles","true","false",,,"list","190",""
"Life","🌈每日清单","进行最后的场景设计_完善草图细节 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-09T07:00:00+0000","2023-06-09T07:00:00+0000","","","3","2","2023-06-13T06:59:56+0000","2024-05-22T03:29:50+0000","-2","America/Los_Angeles","true","false",,,"list","191",""
"Life","🌈每日清单","学习UE建模知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-08T07:00:00+0000","2023-06-08T07:00:00+0000","","","3","2","2023-06-09T07:59:04+0000","2024-05-22T03:29:50+0000","-2","America/Los_Angeles","true","false",,,"list","192",""
"Life","🌈每日清单","学习UE建模知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-07T07:00:00+0000","2023-06-07T07:00:00+0000","","","3","2","2023-06-08T22:43:30+0000","2024-05-22T03:29:50+0000","-2","America/Los_Angeles","true","false",,,"list","193",""
"Life","🌈每日清单","学习UE建模知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","","","","","3","2","2023-06-07T02:10:36+0000","2024-05-22T03:29:50+0000","-2","America/Los_Angeles","true","false",,,"list","194",""
"Life","🌈每日清单","学习UE建模知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-05T07:00:00+0000","2023-06-05T07:00:00+0000","","","3","2","2023-06-07T02:10:33+0000","2024-05-22T03:29:50+0000","-2","America/Los_Angeles","true","false",,,"list","195",""
"Life","🌈每日清单","学习UE建模知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-06-01T07:00:00+0000","2023-06-01T07:00:00+0000","","","3","2","2023-06-06T04:33:20+0000","2024-05-22T03:29:50+0000","-2","America/Los_Angeles","true","false",,,"list","196",""
"Life","🌈每日清单","学习UE建模知识 [🌈每日清单.md](obsidian://open?vault=BJ's&file=%F0%9F%8C%88%E6%AF%8F%E6%97%A5%E6%B8%85%E5%8D%95.md)","TEXT","ticktick","","N","2023-05-24T07:00:00+0000","2023-05-24T07:00:00+0000","","","3","-1","2023-06-01T08:21:47+0000","2023-06-01T08:21:47+0000","-2","America/Los_Angeles","true","false",,,"list","197",""
